Time,HandRight.Y,Beat
5.736,0.39,1.00
5.768,0.39,0.00
5.8,0.38,0.00
5.834,0.36,0.00
5.869,0.33,0.00
5.901,0.31,0.00
5.933,0.27,0.00
5.973,0.25,0.00
6,0.21,0.00
6.031,0.18,0.00
6.07,0.13,0.00
6.101,0.09,0.00
6.133,0.03,0.00
6.168,-0.01,0.00
6.208,-0.06,0.00
6.234,-0.09,0.00
6.276,-0.11,0.00
6.302,-0.19,0.00
6.334,-0.22,0.00
6.37,-0.25,0.00
6.403,-0.26,0.00
6.439,-0.26,1.00
6.47,-0.26,0.00
6.503,-0.24,0.00
6.534,-0.2,0.00
6.571,-0.16,0.00
6.602,-0.12,0.00
6.638,-0.08,0.00
6.671,-0.04,0.00
6.703,-0.03,0.00
6.738,-0.01,0.00
6.77,0.05,0.00
6.804,0.13,0.00
6.839,0.17,0.00
6.87,0.21,0.00
6.905,0.25,0.00
6.939,0.28,0.00
6.971,0.3,0.00
6.998,0.33,0.00
7.034,0.35,0.00
7.066,0.36,0.00
7.098,0.38,0.00
7.141,0.38,1.00
7.17,0.38,0.00
7.201,0.37,0.00
7.237,0.34,0.00
7.269,0.3,0.00
7.301,0.25,0.00
7.337,0.21,0.00
7.374,0.16,0.00
7.402,0.11,0.00
7.438,0.06,0.00
7.471,0.01,0.00
7.502,-0.03,0.00
7.537,,0.00
7.57,-0.12,0.00
7.604,-0.14,0.00
7.637,-0.21,0.00
7.669,-0.24,0.00
7.703,-0.28,0.00
7.738,-0.29,0.00
7.772,-0.3,0.00
7.806,-0.3,1.00
7.841,-0.3,0.00
7.87,-0.28,0.00
7.908,-0.23,0.00
7.937,-0.2,0.00
7.971,-0.14,0.00
8.006,-0.11,0.00
8.038,-0.06,0.00
8.076,-0.04,0.00
8.106,-0.01,0.00
8.138,0.01,0.00
8.166,0.03,0.00
8.202,0.08,0.00
8.233,0.18,0.00
8.266,0.2,0.00
8.308,0.25,0.00
8.338,0.27,0.00
8.37,0.31,0.00
8.406,0.33,0.00
8.44,0.35,0.00
8.471,0.36,0.00
8.507,0.37,0.00
8.543,0.37,1.00
8.571,0.37,0.00
8.607,0.36,0.00
8.638,0.33,0.00
8.671,0.3,0.00
8.707,0.25,0.00
8.74,0.21,0.00
8.773,0.16,0.00
8.805,0.11,0.00
8.839,0.06,0.00
8.87,0.02,0.00
8.906,-0.02,0.00
8.94,,0.00
8.974,-0.13,0.00
9.012,-0.15,0.00
9.037,-0.2,0.00
9.075,-0.25,0.00
9.105,-0.29,0.00
9.138,-0.31,0.00
9.176,-0.32,0.00
9.207,-0.32,1.00
9.243,-0.32,0.00
9.274,-0.31,0.00
9.306,-0.28,0.00
9.333,-0.24,0.00
9.37,-0.19,0.00
9.401,-0.14,0.00
9.434,-0.1,0.00
9.474,-0.06,0.00
9.507,-0.02,0.00
9.538,0.02,0.00
9.575,0.05,0.00
9.606,0.1,0.00
9.64,0.13,0.00
9.674,0.16,0.00
9.71,0.19,0.00
9.739,0.22,0.00
9.776,0.25,0.00
9.806,0.27,0.00
9.839,0.3,0.00
9.875,0.32,0.00
9.906,0.34,0.00
9.944,0.35,0.00
9.975,0.36,0.00
10.007,0.36,1.00
10.04,0.36,0.00
10.074,0.36,0.00
10.11,0.36,0.00
10.138,0.33,0.00
10.178,0.3,0.00
10.206,0.26,0.00
10.242,0.21,0.00
10.273,0.16,0.00
10.307,0.1,0.00
10.343,0.05,0.00
10.374,,0.00
10.411,-0.06,0.00
10.442,,0.00
10.475,-0.12,0.00
10.507,-0.19,0.00
10.543,-0.26,0.00
10.574,-0.3,0.00
10.606,-0.32,0.00
10.647,-0.35,0.00
10.673,-0.35,0.00
10.707,-0.35,1.00
10.742,-0.35,0.00
10.775,-0.33,0.00
10.807,-0.28,0.00
10.842,-0.25,0.00
10.882,-0.2,0.00
10.907,-0.16,0.00
10.943,-0.11,0.00
10.975,-0.07,0.00
11.006,-0.02,0.00
11.043,0.01,0.00
11.074,0.04,0.00
11.105,0.1,0.00
11.141,0.12,0.00
11.174,0.17,0.00
11.208,0.18,0.00
11.242,0.21,0.00
11.275,0.24,0.00
11.306,0.26,0.00
11.347,0.28,0.00
11.374,0.3,0.00
11.412,0.31,0.00
11.443,0.32,0.00
11.475,0.33,0.00
11.511,0.33,1.00
11.542,0.33,0.00
11.574,0.32,0.00
11.612,0.3,0.00
11.642,0.27,0.00
11.675,0.23,0.00
11.709,0.19,0.00
11.743,0.14,0.00
11.773,0.08,0.00
11.815,0.02,0.00
11.843,-0.02,0.00
11.874,-0.08,0.00
11.912,-0.14,0.00
11.943,-0.17,0.00
11.974,-0.2,0.00
12.01,-0.29,0.00
12.041,-0.33,0.00
12.076,-0.29,0.00
12.11,-0.31,0.00
12.142,-0.38,0.00
12.174,-0.38,1.00
12.211,-0.38,0.00
12.243,-0.35,0.00
12.275,-0.31,0.00
12.311,-0.27,0.00
12.342,-0.21,0.00
12.377,-0.17,0.00
12.411,-0.12,0.00
12.443,-0.06,0.00
12.475,-0.02,0.00
12.516,0.01,0.00
12.542,0.07,0.00
12.577,0.1,0.00
12.61,0.14,0.00
12.642,0.18,0.00
12.683,0.21,0.00
12.709,0.24,0.00
12.742,0.27,0.00
12.778,0.29,0.00
12.812,0.31,0.00
12.843,0.33,0.00
12.879,0.34,0.00
12.913,0.35,0.00
12.943,0.35,1.00
12.984,0.35,0.00
13.012,0.35,0.00
13.042,0.34,0.00
13.08,0.32,0.00
13.112,0.29,0.00
