Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z
0,0.1164873,0.05912852,1.516154,0.1116361,0.1169383,1.496945,0.08738029,0.4059872,1.415336,0.06904228,0.5501676,1.310238,-0.07784411,0.3054904,1.424259,-0.1297987,0.1175979,1.460956,-0.07359664,-0.008513644,1.325804,-0.01408009,-0.03393608,1.267067,0.2645248,0.3438207,1.468198,0.3829246,0.1986715,1.581348,,,,,,,0.04579385,-0.02504285,1.524821,0.05922407,-0.4321448,1.587645,,,,,,,0.1998599,-0.007794225,1.546259,0.2575395,-0.4137467,1.62525,,,,,,
0.031,0.129002,0.1342699,1.513731,0.1271034,0.1966044,1.497369,0.1176108,0.508277,1.430173,,,,-0.05563962,0.4023404,1.428995,-0.1483686,0.2186533,1.465088,-0.07903792,0.1067163,1.319563,-0.01557982,0.07119723,1.268032,0.260041,0.4442879,1.46516,0.3700306,0.2836818,1.572793,0.3357557,0.2142306,1.38102,0.3186182,0.1795051,1.291114,0.06014062,0.05368953,1.516519,0.0529418,-0.3788193,1.604855,0.04703252,-0.6564519,1.694785,0.1001877,-0.6715246,1.633724,0.2021969,0.07256592,1.538181,0.2575219,-0.3913085,1.640108,0.2823912,-0.6180888,1.695877,0.2998179,-0.6827627,1.625883
0.063,0.1292688,0.2360826,1.494654,0.1272557,0.2868638,1.48114,0.1173376,0.5293972,1.427863,,,,-0.07502719,0.478812,1.437065,-0.1630607,0.3125129,1.456034,-0.07859261,0.1799568,1.307504,-0.01426687,0.140127,1.259535,0.2671645,0.5182448,1.467526,0.3662992,0.381393,1.57668,0.3234452,0.2772942,1.344267,,,,0.05531551,0.1505258,1.499794,0.03222678,-0.3232896,1.624647,0.04543901,-0.6394581,1.717548,,,,0.2093018,0.1682705,1.517404,0.2557225,-0.3318698,1.6623,0.2728515,-0.6493575,1.767502,,,
0.1,0.1287943,0.2373949,1.495094,0.1265807,0.2880329,1.481452,0.1138774,0.5349189,1.428057,,,,-0.07874968,0.4889525,1.450464,-0.1871535,0.3581662,1.469079,-0.06757358,0.2288255,1.299987,0.002518622,0.1685711,1.240207,0.2980334,0.533178,1.509299,0.4047082,0.4629687,1.606204,0.3446656,0.3596085,1.390826,,,,0.05285104,0.1504004,1.502306,0.02092643,-0.2767228,1.639998,0.04320526,-0.6193659,1.721699,0.0617646,-0.6828983,1.649085,0.2111248,0.1679701,1.518097,0.2411831,-0.2713455,1.672003,0.2730675,-0.6299882,1.766225,0.292881,-0.694182,1.69453
0.132,0.1237012,0.2475491,1.498369,0.119493,0.2962574,1.484175,0.08820309,0.5394968,1.428382,,,,-0.06075897,0.5129109,1.466437,-0.2017806,0.4254385,1.474165,-0.09359714,0.2806131,1.323809,-0.04763317,0.2435022,1.290281,0.2958899,0.5371002,1.521497,0.4327842,0.5303095,1.59762,0.3568369,0.410691,1.407622,,,,0.05144615,0.1648628,1.507789,0.02095781,-0.2474172,1.641048,0.04205164,-0.6099924,1.720993,0.05789839,-0.6677137,1.653169,0.2099463,0.1756262,1.521131,0.2397018,-0.2654971,1.673193,0.2739969,-0.6370116,1.777843,0.2916548,-0.6969133,1.712399
0.166,0.1204488,0.2507526,1.505061,0.1156206,0.2991814,1.489901,0.08614923,0.5408412,1.42906,,,,-0.04062333,0.5280448,1.484248,-0.1999512,0.4865785,1.479425,-0.1139157,0.3288762,1.334653,-0.07463975,0.2804422,1.310044,0.2732664,0.5457171,1.522806,0.4344231,0.5302094,1.583201,0.3523494,0.4131307,1.399774,,,,0.05444853,0.1763546,1.515994,0.02098123,-0.2383389,1.642433,0.04241749,-0.6076106,1.722902,0.05467935,-0.6621047,1.659429,0.1979728,0.1872956,1.532621,0.2398115,-0.2601749,1.671996,0.2696236,-0.6390486,1.794043,0.2831784,-0.6974369,1.734411
0.199,0.1148659,0.2653978,1.515436,0.1095507,0.3123911,1.499944,0.08129181,0.5475892,1.436103,,,,-0.0594263,0.5556276,1.529521,-0.2175242,0.5193244,1.498267,-0.1424864,0.361211,1.354229,-0.1123457,0.3092172,1.330392,0.2700827,0.5472884,1.5243,,,,0.3488933,0.4204023,1.406355,,,,0.04999529,0.1961512,1.527124,0.02202471,-0.2339634,1.64527,0.04256023,-0.6084017,1.732486,0.04300693,-0.6625934,1.671963,0.1956998,0.1941411,1.537641,0.2387618,-0.2532335,1.674436,0.267093,-0.6412973,1.798901,0.2683877,-0.6986362,1.741364
0.231,0.1106353,0.2725747,1.520391,0.1037627,0.3198054,1.506074,0.06550716,0.5558226,1.45001,,,,-0.05787732,0.5578529,1.533821,-0.2140872,0.520767,1.504482,-0.1507192,0.3635969,1.357296,-0.133796,0.3054638,1.335386,0.2685126,0.5518673,1.527078,,,,0.3445006,0.4238802,1.429095,0.3105638,0.3710383,1.414886,0.04812444,0.2024266,1.530618,0.02068754,-0.226738,1.651966,0.03846767,-0.6106881,1.741892,0.03846136,-0.662202,1.683182,0.1930252,0.201401,1.541383,0.2335337,-0.2407079,1.682078,0.2617337,-0.6293507,1.796127,0.262814,-0.6830406,1.739411
0.267,0.1125351,0.2780901,1.521614,0.1081459,0.3211377,1.507671,0.1232308,0.5028589,1.462718,,,,-0.0579817,0.5625308,1.539446,-0.2124763,0.5282255,1.521842,-0.1705962,0.3722608,1.370515,-0.1590957,0.3132871,1.347825,0.2674947,0.5546039,1.528786,0.4171092,0.5715023,1.571919,0.3356534,0.4257265,1.427168,0.3068681,0.3706342,1.411005,0.04508831,0.2094904,1.533812,0.01736436,-0.2204663,1.659418,0.03426033,-0.6101031,1.752311,0.03325317,-0.6603268,1.695252,0.1907184,0.206275,1.542441,0.2290554,-0.2351375,1.687793,0.2521224,-0.6341341,1.797296,0.251682,-0.6856283,1.741374
0.3,0.1249792,0.296181,1.527257,0.1349798,0.3435204,1.516487,0.1833995,0.5603419,1.470678,,,,-0.06030212,0.5653375,1.54737,-0.2142266,0.5467891,1.571119,-0.185202,0.3948877,1.406543,-0.173148,0.3376153,1.379289,0.3285671,0.5686904,1.582127,,,,0.3662014,0.4612166,1.47186,0.3345075,0.4089083,1.451184,0.03615615,0.216615,1.538495,0.01555215,-0.2177867,1.664453,0.03067011,-0.6143491,1.767824,0.03847525,-0.6660211,1.710001,0.1935031,0.2092962,1.544226,0.2241664,-0.2315957,1.691787,0.2422646,-0.6328187,1.796943,0.2503356,-0.6844778,1.739145
