Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z
0.001,-0.03194989,0.1197961,1.688349,-0.03278773,0.1815329,1.676158,-0.0369769,0.4902167,1.63004,-0.08286444,0.6197249,1.515188,-0.2073392,0.4183841,1.721601,,,,,,,,,,0.1202706,0.3909313,1.616751,,,,,,,,,,-0.1046359,0.05035628,1.716109,-0.1136921,-0.3498601,1.776132,-0.00374198,-0.5846426,1.59977,-0.01870555,-0.6158681,1.510224,0.0427885,0.03800252,1.67944,0.03551744,-0.3107182,1.64353,0.01365226,-0.5772905,1.599402,-0.0149044,-0.6211076,1.51889
0.031,-0.0294354,0.1263973,1.694615,-0.03020833,0.1884225,1.683235,-0.03406927,0.4987024,1.641886,-0.08198339,0.6222791,1.519663,-0.2066945,0.4281098,1.735504,,,,,,,,,,0.1258572,0.3952854,1.626315,,,,,,,,,,-0.1031751,0.05613164,1.721861,-0.1152129,-0.3451881,1.783942,-0.0004622155,-0.5899695,1.614315,-0.01574624,-0.6216644,1.523851,0.04581146,0.04190549,1.683915,0.03424833,-0.3674975,1.646308,0.0141567,-0.6007497,1.616197,0.01794603,-0.6764987,1.648678
0.062,-0.02462535,0.1354535,1.708678,-0.02500491,0.1987417,1.698906,-0.026838,0.5161489,1.666046,-0.08022864,0.6261892,1.533383,-0.2039866,0.4441568,1.755624,,,,,,,,,,0.1297012,0.40522,1.641817,,,,,,,,,,-0.0990548,0.06554623,1.734367,-0.1068097,-0.3289706,1.790832,0.00782043,-0.5469164,1.629504,-0.007307231,-0.5763633,1.537216,0.05085952,0.04933587,1.696753,0.03568807,-0.3685815,1.653099,0.02321361,-0.6090972,1.657325,-0.008105146,-0.6602025,1.579734
0.098,-0.02176141,0.1447062,1.723781,-0.02211351,0.2078932,1.714145,-0.0239875,0.5238246,1.680611,-0.07829208,0.6315308,1.545469,-0.2020233,0.4544408,1.773368,,,,,,,,,,0.1393818,0.4190997,1.666133,,,,,,,,,,-0.0976329,0.07361108,1.749393,-0.1020949,-0.3280413,1.796135,0.006841073,-0.5501431,1.640134,0.02803117,-0.6450765,1.706069,0.05477509,0.05687827,1.7102,0.03944519,-0.307765,1.690881,0.02959977,-0.6206717,1.68628,0.03442069,-0.6955842,1.72997
0.132,-0.02033257,0.1478934,1.736314,-0.02027361,0.2116425,1.727653,-0.01950504,0.5310388,1.700107,-0.07403989,0.6282403,1.557555,-0.1985793,0.4611482,1.7892,,,,,,,,,,0.1430001,0.4242426,1.678901,,,,,,,,,,-0.09702909,0.07653014,1.760336,-0.0979002,-0.3265326,1.812427,0.01649417,-0.5642395,1.678191,0.03602662,-0.6634359,1.741914,0.0562732,0.06006829,1.722904,0.0474025,-0.3186879,1.697213,0.04005464,-0.6402808,1.734542,,,
0.162,-0.01743525,0.1474976,1.747373,-0.01732709,0.2118059,1.738932,-0.016566,0.5338364,1.712133,-0.0698027,0.6314199,1.567951,-0.1956032,0.4665968,1.80687,,,,,,,,,,0.1494801,0.4281161,1.697978,,,,,,,,,,-0.09502292,0.07616873,1.769632,-0.09505797,-0.3471444,1.844742,0.01801432,-0.5678027,1.692443,0.02972303,-0.663848,1.770306,0.05997298,0.05893635,1.734894,0.05505193,-0.3351392,1.715443,0.04916151,-0.6555794,1.779027,,,
0.198,-0.01417007,0.1465239,1.757221,-0.01372481,0.2114376,1.749302,-0.01105357,0.5368445,1.72556,-0.06608497,0.6327806,1.579701,-0.19065,0.4695686,1.820608,,,,,,,,,,0.1572548,0.4309272,1.715538,,,,,,,,,,-0.0926973,0.0751399,1.77801,-0.09272456,-0.3581087,1.856075,,,,0.01364756,-0.6173262,1.628746,0.06334497,0.05757709,1.744699,0.06380237,-0.3516942,1.734601,0.06085987,-0.6668656,1.829928,,,
0.23,-0.01165901,0.1467446,1.7649,-0.01107639,0.2120325,1.757446,-0.007946339,0.5392101,1.735753,-0.06499864,0.6358855,1.587887,-0.1859669,0.4725424,1.833629,,,,,,,,,,0.1594774,0.4335822,1.726896,,,,,,,,,,-0.08985694,0.0754758,1.786382,-0.09212267,-0.3735179,1.87414,-0.03849507,-0.6834729,2.029487,-0.05522051,-0.7770749,1.978626,0.06521961,0.05789536,1.750582,0.06797248,-0.3584837,1.748932,0.06967684,-0.6852658,1.880953,,,
0.257,-0.008079621,0.1472346,1.772933,-0.007047784,0.2129316,1.765874,-0.001453741,0.5421772,1.746167,-0.05892898,0.6420393,1.598533,-0.180427,0.4753311,1.842173,,,,,,,,,,0.1658778,0.4353664,1.741205,,,,,,,,,,-0.08664992,0.07610461,1.794821,-0.08466553,-0.3873739,1.904057,-0.02928659,-0.7170584,2.057027,-0.04502681,-0.8078594,2.001001,0.06809183,0.05798167,1.757179,0.07539652,-0.3702183,1.775521,0.07200047,-0.7039104,1.929606,,,
0.298,-0.007237648,0.1490704,1.780088,-0.005590393,0.2148111,1.773442,0.003631156,0.5439523,1.75618,-0.05641919,0.6443642,1.608887,-0.175403,0.4769287,1.849024,,,,,,,,,,0.1679547,0.4361932,1.747935,,,,,,,,,,-0.08549963,0.07525782,1.802846,-0.08357378,-0.3957635,1.910429,-0.02698427,-0.7373682,2.068379,,,,0.0672126,0.06309511,1.763668,0.08487225,-0.3829523,1.802126,0.07356916,-0.7254369,1.966728,,,
