Beat,BeatPortion,HandRight.Y,Time
1,0.0,0.39,5.736
0,0.04551920341394028,0.39,5.768
0,0.09103840682788056,0.38,5.8
0,0.13940256045519178,0.36,5.834
0,0.18918918918918912,0.33,5.869
0,0.2347083926031294,0.31,5.901
0,0.2802275960170697,0.27,5.933
0,0.33712660028449504,0.25,5.973
0,0.3755334281650073,0.21,6.0
0,0.4196301564722615,0.18,6.031
0,0.47510668563300196,0.13,6.07
0,0.5192034139402562,0.09,6.101
0,0.5647226173541964,0.03,6.133
0,0.6145092460881938,-0.01,6.168
0,0.6714082503556191,-0.06,6.208
0,0.7083926031294453,-0.09,6.234
0,0.7681365576102416,-0.11,6.276
0,0.8051209103840677,-0.19,6.302
0,0.850640113798008,-0.22,6.334
0,0.9018492176386914,-0.25,6.37
0,0.9487908961593166,-0.26,6.403
1,0.0,-0.26,6.439
0,0.04415954415954373,-0.26,6.47
0,0.09116809116809126,-0.24,6.503
0,0.13532763532763498,-0.2,6.534
0,0.1880341880341876,-0.16,6.571
0,0.23219373219373257,-0.12,6.602
0,0.2834757834757833,-0.08,6.638
0,0.3304843304843308,-0.04,6.671
0,0.3760683760683764,-0.03,6.703
0,0.4259259259259265,-0.01,6.738
0,0.47150997150997087,0.05,6.77
0,0.5199430199430203,0.13,6.804
0,0.5698005698005704,0.17,6.839
0,0.6139601139601141,0.21,6.87
0,0.6638176638176642,0.25,6.905
0,0.7122507122507123,0.28,6.939
0,0.757834757834758,0.3,6.971
0,0.7962962962962966,0.33,6.998
0,0.8475783475783473,0.35,7.034
0,0.8931623931623929,0.36,7.066
0,0.9387464387464385,0.38,7.098
1,0.0,0.38,7.141
0,0.04360902255639085,0.38,7.17
0,0.09022556390977385,0.37,7.201
0,0.14436090225563922,0.34,7.237
0,0.19248120300751895,0.3,7.269
0,0.2406015037593987,0.25,7.301
0,0.29473684210526274,0.21,7.337
0,0.3503759398496235,0.16,7.374
0,0.39248120300751893,0.11,7.402
0,0.446616541353383,0.06,7.438
0,0.4962406015037595,0.01,7.471
0,0.5428571428571425,-0.03,7.502
0,0.5954887218045111,,7.537
0,0.6451127819548876,-0.12,7.57
0,0.6962406015037594,-0.14,7.604
0,0.7458646616541347,-0.21,7.637
0,0.7939849624060143,-0.24,7.669
0,0.8451127819548876,-0.28,7.703
0,0.8977443609022562,-0.29,7.738
0,0.9488721804511281,-0.3,7.772
1,0.0,-0.3,7.806
0,0.047489823609226836,-0.3,7.841
0,0.0868385345997288,-0.28,7.87
0,0.13839891451831807,-0.23,7.908
0,0.17774762550882003,-0.2,7.937
0,0.22388059701492566,-0.14,7.971
0,0.2713704206241525,-0.11,8.006
0,0.3147896879240169,-0.06,8.038
0,0.36635006784260615,-0.04,8.076
0,0.40705563093622815,-0.01,8.106
0,0.45047489823609255,0.01,8.138
0,0.4884667571234745,0.03,8.166
0,0.5373134328358213,0.08,8.202
0,0.5793758480325657,0.18,8.233
0,0.6241519674355501,0.2,8.266
0,0.6811397557666219,0.25,8.308
0,0.7218453188602438,0.27,8.338
0,0.7652645861601083,0.31,8.37
0,0.8141112618724575,0.33,8.406
0,0.8602442333785619,0.35,8.44
0,0.9023066485753063,0.36,8.471
0,0.9511533242876532,0.37,8.507
1,0.0,0.37,8.543
0,0.042168674698795795,0.37,8.571
0,0.09638554216867457,0.36,8.607
0,0.14307228915662715,0.33,8.638
0,0.19277108433734913,0.3,8.671
0,0.2469879518072306,0.25,8.707
0,0.29668674698795255,0.21,8.74
0,0.34638554216867457,0.16,8.773
0,0.39457831325301185,0.11,8.805
0,0.4457831325301212,0.06,8.839
0,0.49246987951807114,0.02,8.87
0,0.5466867469879526,-0.02,8.906
0,0.5978915662650592,,8.94
0,0.6490963855421686,-0.13,8.974
0,0.7063253012048195,-0.15,9.012
0,0.7439759036144585,-0.2,9.037
0,0.8012048192771067,-0.25,9.075
0,0.8463855421686746,-0.29,9.105
0,0.8960843373493965,-0.31,9.138
0,0.9533132530120474,-0.32,9.176
1,0.0,-0.32,9.207
0,0.04499999999999955,-0.32,9.243
0,0.0837499999999981,-0.31,9.274
0,0.1237499999999982,-0.28,9.306
0,0.15749999999999953,-0.24,9.333
0,0.20374999999999838,-0.19,9.37
0,0.24249999999999916,-0.14,9.401
0,0.28374999999999856,-0.1,9.434
0,0.33374999999999977,-0.06,9.474
0,0.37499999999999917,-0.02,9.507
0,0.41374999999999995,0.02,9.538
0,0.4599999999999988,0.05,9.575
0,0.4987499999999996,0.1,9.606
0,0.5412500000000005,0.13,9.64
0,0.5837499999999992,0.16,9.674
0,0.628750000000001,0.19,9.71
0,0.6650000000000009,0.22,9.739
0,0.7112499999999998,0.25,9.776
0,0.748749999999999,0.27,9.806
0,0.7900000000000006,0.3,9.839
0,0.8350000000000002,0.32,9.875
0,0.8737500000000009,0.34,9.906
0,0.9212500000000013,0.35,9.944
0,0.96,0.36,9.975
1,0.0,0.36,10.007
0,0.04714285714285632,0.36,10.04
0,0.09571428571428581,0.36,10.074
0,0.14714285714285658,0.36,10.11
0,0.1871428571428572,0.33,10.138
0,0.24428571428571555,0.3,10.178
0,0.28428571428571364,0.26,10.206
0,0.3357142857142869,0.21,10.242
0,0.37999999999999945,0.16,10.273
0,0.42857142857142894,0.1,10.307
0,0.4799999999999997,0.05,10.343
0,0.5242857142857148,,10.374
0,0.5771428571428562,-0.06,10.411
0,0.6214285714285712,,10.442
0,0.6685714285714275,-0.12,10.475
0,0.7142857142857132,-0.19,10.507
0,0.7657142857142839,-0.26,10.543
0,0.809999999999999,-0.3,10.574
0,0.8557142857142847,-0.32,10.606
0,0.9142857142857137,-0.35,10.647
0,0.9514285714285705,-0.35,10.673
1,0.0,-0.35,10.707
0,0.04353233830845797,-0.35,10.742
0,0.08457711442786038,-0.33,10.775
0,0.12437810945273611,-0.28,10.807
0,0.16791044776119407,-0.25,10.842
0,0.21766169154228765,-0.2,10.882
0,0.24875621890547223,-0.16,10.907
0,0.2935323383084569,-0.11,10.943
0,0.3333333333333326,-0.07,10.975
0,0.37189054726368165,-0.02,11.006
0,0.41791044776119296,0.01,11.043
0,0.456467661691542,0.04,11.074
0,0.49502487562189107,0.1,11.105
0,0.5398009950248758,0.12,11.141
0,0.5808457711442782,0.17,11.174
0,0.6231343283582095,0.18,11.208
0,0.6654228855721407,0.21,11.242
0,0.7064676616915432,0.24,11.275
0,0.74502487562189,0.26,11.306
0,0.7960199004975125,0.28,11.347
0,0.8296019900497525,0.3,11.374
0,0.8768656716417927,0.31,11.412
0,0.9154228855721396,0.32,11.443
0,0.9552238805970154,0.33,11.475
1,0.0,0.33,11.511
0,0.04675716440422409,0.33,11.542
0,0.09502262443439002,0.32,11.574
0,0.1523378582202124,0.3,11.612
0,0.19758672699849197,0.27,11.642
0,0.24736048265460245,0.23,11.675
0,0.2986425339366521,0.19,11.709
