Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z,,Proportional
0,-0.88,-0.6,1.93,-0.9,-0.54,1.93,-0.94,-0.27,1.92,-0.92,-0.05,1.87,-0.94,-0.35,1.88,,,,,,,,,,-0.87,-0.36,1.95,,,,,,,,,,-0.9,-0.63,1.9,-0.63,-0.51,1.78,-0.91,-0.71,1.77,-0.87,-0.71,1.77,-0.86,-0.63,1.95,-0.91,-0.55,2.24,-0.77,-0.48,1.94,-0.74,-0.48,1.9,,0
0.036,-0.89,-0.57,1.93,-0.9,-0.52,1.93,-0.93,-0.26,1.92,-0.91,-0.04,1.85,-0.94,-0.33,1.87,,,,,,,,,,-0.86,-0.36,1.94,,,,,,,,,,-0.9,-0.61,1.9,,,,-0.91,-0.71,1.77,-0.84,-0.71,1.77,-0.86,-0.62,1.96,,,,-0.8,-0.45,1.91,-0.75,-0.44,1.85,,0
0.061,-0.89,-0.57,1.95,-0.89,-0.52,1.94,-0.92,-0.27,1.9,-0.89,-0.04,1.83,-0.93,-0.34,1.85,,,,,,,,,,-0.84,-0.36,1.92,-0.69,-0.53,1.91,-0.67,-0.59,1.69,-0.67,-0.61,1.58,-0.9,-0.61,1.91,-0.6,-0.62,1.77,-0.91,-0.66,1.82,-0.85,-0.71,1.76,-0.86,-0.63,2.01,,,,-0.8,-0.52,2.01,-0.75,-0.53,1.94,,-1.150943396
0.093,-0.89,-0.58,2,-0.89,-0.52,1.97,-0.9,-0.27,1.86,-0.88,-0.05,1.79,-0.91,-0.36,1.83,,,,,,,,,,-0.82,-0.36,1.9,-0.67,-0.54,1.9,-0.62,-0.65,1.76,-0.67,-0.64,1.64,-0.9,-0.62,1.97,,,,-0.89,-0.65,1.82,-0.84,-0.71,1.76,-0.86,-0.63,2.06,,,,,,,-0.76,-0.55,1.94,,-1.20754717
0.129,-0.88,-0.58,2,-0.89,-0.53,1.97,-0.89,-0.28,1.84,-0.86,-0.05,1.77,-0.9,-0.36,1.8,-0.91,-0.6,1.8,,,,,,,-0.81,-0.37,1.88,-0.66,-0.55,1.89,-0.63,-0.68,1.76,-0.68,-0.65,1.66,-0.9,-0.62,1.97,,,,-0.89,-0.65,1.82,-0.81,-0.65,1.76,-0.86,-0.63,2.06,,,,,,,-0.76,-0.57,1.94,,-1.226415094
0.161,-0.88,-0.59,2,-0.88,-0.53,1.97,-0.86,-0.28,1.81,-0.84,-0.05,1.74,-0.88,-0.36,1.78,-0.9,-0.59,1.79,,,,,,,-0.79,-0.37,1.86,-0.66,-0.56,1.87,-0.62,-0.69,1.74,-0.68,-0.66,1.67,-0.9,-0.63,1.97,,,,,,,-0.8,-0.65,1.78,-0.86,-0.63,2.06,,,,,,,-0.84,-0.51,1.92,,-1.222222222
0.198,-0.88,-0.59,1.99,-0.87,-0.54,1.96,-0.84,-0.29,1.79,-0.82,-0.06,1.7,-0.87,-0.36,1.75,-0.89,-0.59,1.77,,,,,,,-0.77,-0.38,1.83,-0.65,-0.56,1.85,-0.68,-0.67,1.69,,,,-0.9,-0.63,1.98,,,,-0.91,-0.71,1.77,-0.82,-0.69,1.74,-0.86,-0.63,2.06,,,,-0.86,-0.66,2.03,,,,,0
0.229,-0.87,-0.6,1.99,-0.86,-0.55,1.96,-0.82,-0.29,1.76,-0.8,-0.07,1.67,-0.84,-0.37,1.73,-0.88,-0.59,1.75,,,,-0.66,-0.69,1.69,-0.74,-0.38,1.81,-0.64,-0.56,1.83,-0.63,-0.71,1.71,,,,-0.9,-0.63,1.98,,,,-0.86,-0.62,1.78,-0.77,-0.65,1.75,-0.85,-0.64,2.04,-0.64,-0.56,1.82,,,,-0.65,-0.78,1.89,,0
0.261,-0.86,-0.61,1.99,-0.86,-0.56,1.95,-0.81,-0.3,1.74,-0.78,-0.08,1.64,-0.83,-0.38,1.7,-0.87,-0.59,1.74,,,,,,,-0.72,-0.38,1.78,-0.63,-0.55,1.81,-0.62,-0.72,1.71,,,,-0.89,-0.64,1.98,,,,-0.85,-0.62,1.77,-0.76,-0.65,1.74,-0.84,-0.64,2.03,-0.64,-0.56,1.81,,,,-0.65,-0.78,1.88,,0
0.292,-0.81,-0.61,1.81,-0.8,-0.56,1.79,-0.77,-0.31,1.69,-0.75,-0.09,1.58,-0.81,-0.38,1.65,-0.84,-0.58,1.69,,,,,,,-0.69,-0.38,1.73,-0.6,-0.55,1.77,,,,,,,-0.84,-0.64,1.81,-0.55,-0.57,1.83,-0.83,-0.61,1.72,,,,-0.78,-0.64,1.83,,,,,,,-0.63,-0.77,1.85,,0
