Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z
0,-.35,-.24,2.15,-.34,-.18,2.2,-.35,.14,2.2,-.35,.33,2.19,-.5,.05,2.23,,,,,,,,,,-.2,.04,2.16,,,,,,,,,,-.42,-.31,2.15,-.45,-.7,2.16,,,,,,,-.28,-.31,2.12,-.27,-.66,2.14,,,,,,
0.021,-.35,-.24,2.15,-.34,-.18,2.2,-.35,.14,2.2,-.35,.33,2.19,-.5,.05,2.23,,,,,,,,,,-.2,.04,2.16,,,,,,,,,,-.42,-.31,2.15,-.45,-.7,2.16,,,,,,,-.28,-.31,2.12,-.27,-.74,2.15,,,,,,
0.054,-.35,-.24,2.15,-.34,-.18,2.2,-.35,.14,2.2,-.35,.33,2.19,-.5,.05,2.22,,,,,,,,,,-.2,.04,2.16,-.07,-.09,1.95,-.07,.07,1.81,-.06,.1,1.8,-.42,-.31,2.16,-.44,-.67,2.16,,,,,,,-.28,-.31,2.12,-.27,-.74,2.15,,,,,,
0.085,-.35,-.24,2.15,-.34,-.18,2.2,-.35,.14,2.2,-.35,.33,2.19,-.5,.05,2.22,,,,,,,,,,-.2,.04,2.16,-.07,-.09,1.96,-.05,.05,1.82,-.04,.08,1.8,-.42,-.31,2.16,-.45,-.69,2.16,,,,,,,-.28,-.31,2.12,-.27,-.74,2.15,,,,,,
0.12,-.35,-.24,2.15,-.34,-.18,2.2,-.35,.14,2.2,-.35,.33,2.19,-.5,.05,2.22,,,,,,,,,,-.2,.04,2.16,-.06,-.11,1.98,-.03,.02,1.83,-.01,.07,1.8,-.42,-.31,2.16,-.45,-.69,2.16,,,,,,,-.28,-.31,2.12,-.27,-.74,2.15,,,,,,
0.158,-.35,-.24,2.15,-.34,-.18,2.2,-.35,.14,2.2,-.35,.33,2.2,-.5,.05,2.22,,,,,,,,,,-.2,.04,2.16,-.06,-.11,2,,,1.83,.01,.05,1.8,-.42,-.31,2.16,-.45,-.69,2.16,,,,,,,-.29,-.31,2.12,-.27,-.74,2.15,,,,,,
0.184,-.35,-.24,2.15,-.34,-.18,2.2,-.35,.14,2.2,-.35,.33,2.2,-.5,.05,2.22,,,,,,,,,,-.2,.04,2.16,-.07,-.12,2.03,.01,-.04,1.86,.03,.03,1.8,-.42,-.31,2.16,-.45,-.67,2.16,,,,,,,-.29,-.31,2.12,-.27,-.74,2.15,,,,,,
0.225,-.35,-.24,2.15,-.35,-.18,2.2,-.35,.14,2.2,-.35,.33,2.2,-.5,.05,2.22,,,,,,,,,,-.21,.04,2.16,-.07,-.12,2.03,.02,-.05,1.86,.05,.02,1.8,-.42,-.3,2.16,-.45,-.67,2.16,,,,,,,-.29,-.31,2.12,-.27,-.74,2.15,,,,,,
0.254,-.35,-.24,2.15,-.35,-.18,2.2,-.36,.14,2.2,-.35,.33,2.2,-.5,.05,2.22,,,,,,,,,,-.21,.04,2.17,-.07,-.12,2.04,.03,-.06,1.87,.07,.01,1.81,-.42,-.3,2.16,-.45,-.67,2.16,,,,,,,-.29,-.31,2.12,-.27,-.74,2.15,,,,,,
0.286,-.36,-.24,2.15,-.35,-.18,2.2,-.36,.14,2.2,-.35,.33,2.2,-.5,.05,2.21,,,,,,,,,,-.21,.04,2.17,-.07,-.12,2.05,.03,-.06,1.88,.08,,1.81,-.42,-.3,2.16,-.45,-.67,2.16,,,,,,,-.29,-.31,2.12,-.27,-.74,2.15,,,,,,
0.321,-.36,-.24,2.15,-.35,-.18,2.2,-.36,.14,2.2,-.35,.33,2.2,-.5,.05,2.21,,,,,,,,,,-.21,.04,2.17,-.07,-.12,2.06,.03,-.07,1.89,.09,,1.81,-.42,-.3,2.16,-.45,-.66,2.16,,,,,,,-.29,-.31,2.12,-.27,-.74,2.15,,,,,,
0.354,-.36,-.24,2.15,-.35,-.18,2.2,-.36,.14,2.2,-.35,.33,2.2,-.5,.05,2.21,,,,,,,,,,-.21,.04,2.17,-.07,-.12,2.06,.04,-.07,1.89,.09,-.03,1.84,-.42,-.31,2.16,-.45,-.68,2.16,,,,,,,-.29,-.31,2.12,-.27,-.74,2.15,,,,,,
