Time,HipCenter.X,HipCenter.Y,HipCenter.Z,Spine.X,Spine.Y,Spine.Z,ShoulderCenter.X,ShoulderCenter.Y,ShoulderCenter.Z,Head.X,Head.Y,Head.Z,ShoulderLeft.X,ShoulderLeft.Y,ShoulderLeft.Z,ElbowLeft.X,ElbowLeft.Y,ElbowLeft.Z,WristLeft.X,WristLeft.Y,WristLeft.Z,HandLeft.X,HandLeft.Y,HandLeft.Z,ShoulderRight.X,ShoulderRight.Y,ShoulderRight.Z,ElbowRight.X,ElbowRight.Y,ElbowRight.Z,WristRight.X,WristRight.Y,WristRight.Z,HandRight.X,HandRight.Y,HandRight.Z,HipLeft.X,HipLeft.Y,HipLeft.Z,KneeLeft.X,KneeLeft.Y,KneeLeft.Z,AnkleLeft.X,AnkleLeft.Y,AnkleLeft.Z,FootLeft.X,FootLeft.Y,FootLeft.Z,HipRight.X,HipRight.Y,HipRight.Z,KneeRight.X,KneeRight.Y,KneeRight.Z,AnkleRight.X,AnkleRight.Y,AnkleRight.Z,FootRight.X,FootRight.Y,FootRight.Z
0,-0.02,-0.21,1.66,-0.02,-0.16,1.72,-0.04,0.19,1.74,-0.04,0.37,1.7,-0.2,0.07,1.72,,,,,,,,,,0.13,0.07,1.68,0.21,-0.11,1.57,0.11,-0.13,1.35,0.09,-0.12,1.31,-0.1,-0.29,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.29,1.63,0.06,-0.62,1.69,,,,,,
0.023,-0.02,-0.21,1.66,-0.02,-0.16,1.72,-0.04,0.19,1.74,-0.04,0.37,1.7,-0.2,0.07,1.72,,,,,,,,,,0.13,0.08,1.68,0.21,-0.11,1.56,0.11,-0.12,1.36,0.09,-0.1,1.33,-0.1,-0.29,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.07,-0.62,1.69,,,,,,
0.054,-0.02,-0.21,1.66,-0.02,-0.16,1.71,-0.04,0.19,1.74,-0.04,0.37,1.7,-0.2,0.07,1.71,,,,,,,,,,0.13,0.08,1.68,0.2,-0.12,1.51,0.1,-0.06,1.32,0.09,-0.04,1.32,-0.1,-0.28,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.07,-0.62,1.69,,,,,,
0.09,-0.02,-0.21,1.66,-0.02,-0.15,1.71,-0.03,0.19,1.73,-0.04,0.37,1.7,-0.2,0.07,1.71,,,,,,,,,,0.13,0.09,1.68,0.19,-0.12,1.49,0.09,-0.03,1.32,0.1,-0.02,1.31,-0.09,-0.28,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.07,-0.62,1.69,,,,,,
0.168,-0.02,-0.21,1.66,-0.02,-0.15,1.71,-0.03,0.19,1.73,-0.04,0.37,1.7,-0.2,0.07,1.71,,,,,,,,,,0.14,0.1,1.68,0.19,-0.11,1.49,0.09,-0.01,1.31,0.09,0.02,1.31,-0.1,-0.28,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.07,-0.62,1.69,,,,,,
0.192,-0.02,-0.21,1.66,-0.02,-0.15,1.71,-0.03,0.19,1.74,-0.04,0.37,1.7,-0.19,0.07,1.71,,,,,,,,,,0.14,0.1,1.68,0.18,-0.11,1.49,0.08,-0.01,1.32,0.09,0.01,1.32,-0.1,-0.28,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.07,-0.62,1.69,,,,,,
0.226,-0.02,-0.21,1.66,-0.02,-0.15,1.71,-0.03,0.19,1.74,-0.04,0.37,1.7,-0.19,0.07,1.71,,,,,,,,,,0.14,0.1,1.68,0.18,-0.12,1.49,0.05,-0.05,1.32,0.07,-0.02,1.33,-0.1,-0.29,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.08,-0.62,1.69,,,,,,
0.252,-0.02,-0.21,1.66,-0.02,-0.15,1.71,-0.03,0.19,1.74,-0.04,0.37,1.7,-0.19,0.07,1.71,,,,,,,,,,0.14,0.09,1.68,0.18,-0.12,1.53,0.05,-0.1,1.35,0.04,-0.07,1.35,-0.1,-0.29,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.07,-0.62,1.69,,,,,,
0.285,-0.02,-0.21,1.66,-0.02,-0.15,1.71,-0.03,0.19,1.74,-0.04,0.37,1.7,-0.19,0.07,1.71,,,,,,,,,,0.13,0.08,1.67,0.18,-0.12,1.54,0.03,-0.12,1.36,0.03,-0.1,1.36,-0.1,-0.29,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.07,-0.62,1.69,,,,,,
0.317,-0.02,-0.21,1.66,-0.02,-0.15,1.71,-0.03,0.19,1.74,-0.04,0.37,1.7,-0.19,0.07,1.71,,,,,,,,,,0.13,0.08,1.67,0.18,-0.12,1.54,0.01,-0.13,1.39,-0.03,-0.11,1.37,-0.1,-0.29,1.65,-0.11,-0.62,1.71,,,,,,,0.05,-0.28,1.63,0.08,-0.62,1.69,,,,,,
